0
IL1B
SERPINE1
ETV1
CBLB
CCND1
SQSTM1
PTGS2
HSPD1
FGFR2
CDK4
COL1A1
CDC25A
TP53
MUC1
AURKA
HMOX1
NFKBIA
HMGA2
IGFBP3
ERBB3
DUSP4
CDK6
FOSL1
HSPA8
PCNA
SUV39H1
CDC42
CCNE2
CD40
CDC20
CCL2
IKZF1
EPHA3
TGFBR2
FBXO11
MMP1
CDC25B
CXCL2
GRB7
HSPA1A
PLK1
SPDEF
IGF1R
TSKU
SLC2A6
EZH2
MCM3
EBP
BDH1
BIRC5
XBP1
SOX4
PMAIP1
PAICS
UBE2C
DNAJB1
CLIC4
STX1A
CCNA2
FOXO4
MRPL12
LIG1
INSIG1
HIST2H2BE
GADD45A
DDIT4
JUN
TSC22D3
TFAP2A
FDFT1
UBE2A
NUP62
KIF2C
TOP2A
B3GNT1
MYC
CDK1
CDKN1A
MTHFD2
AARS
CTSL
ARHGEF2
NFIL3
ARL4C
MYCBP
PRSS23
RAP1GAP
TIPARP
TXNRD1
BNIP3
ALDOC
PCK2
MYBL2
CCDC85B
BAMBI
HADH
GLRX
MVP
STMN1
LOXL1
LIPA
PHGDH
ST7
EGFR
LRP10
ATP1B1
RGS2
ACLY
POLR2I
TSEN2
LYPLA1
DHRS7
SLC1A4
GRWD1
STAT1
DLD
MELK
SMAD3
SNX7
NUSAP1
HPRT1
CSRP1
HMGCS1
SPRED2
MAP7
CHAC1
GNAS
RNF167
TXNDC9
CHEK2
UBQLN2
EIF5
HERPUD1
IFRD2
HIST1H2BK
PRR7
TNIP1
DCK
TRIM2
PDLIM1
GADD45B
IPO13
KCNK1
HOXA10
RFNG
TLE1
LAGE3
KIF14
CORO1A
GATA3
RPA3
RFC2
TIMM9
PARP2
ADI1
NRIP1
CCNB2
UBR7
CD44
ABHD4
BAG3
TRIB3
CCNF
EVL
POLE2
DDX10
CEP57
RFC5
HES1
KLHL9
VAT1
KIF20A
SFN
ATP6V1D
CDC45
UGDH
CD320
MLLT11
CBR3
